,gtq8_7,gtq15_6,gtq24_6,gtq25_6,pc.gt2,lpc.gt2,avg.gt2,gtq8.6,gtq15.5,gtq24.5,gtq25.5,pc2.dig,lpc2.dig,Trade,Coop_Clust,Coop_RD,PROD_INN,PROC_INN,Year,Type,Region
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Sci,dolno?l?skie
2,0,0,1,1,0.427041106,0.474076651,0.5,1,0,1,1,0.7301065,0.693465178,1,1,0,1,0,2018,Micro,pomorskie
3,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,1,1,0,2019,Micro,kujawsko-pomorskie
4,0,0,1,1,0.427041106,0.474076651,0.5,0,1,1,1,0.744912366,0.750782825,0,1,0,0,0,2023,Micro,ma?opolskie
5,0,0,0,0,0,0,0,1,0,0,1,0.486984641,0.375079247,0,1,0,0,1,,Other,dolno?l?skie
6,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,0,0,0,0,2014,Micro,podlaskie
7,0,0,0,1,0.205856032,0.12996948,0.25,0,1,1,1,0.744912366,0.750782825,0,1,0,0,0,,Small,?l?skie
8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2011,Large,mazowieckie
9,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2015,Large,podlaskie
10,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,1,0,1,2015,Sci,?ódzkie
11,1,0,0,0,0.284382182,0.249176002,0.25,1,0,0,0,0.255087634,0.249217175,0,1,1,1,0,2023,Small,opolskie
12,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,1,0,0,2019,Large,lubuskie
13,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,1,1,0,2018,Small,warmi?sko-mazurskie
14,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,0,0,0,0,1,2019,Micro,wielkopolskie
15,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,0,0,0,0,2021,Large,podlaskie
16,0,0,1,1,0.427041106,0.474076651,0.5,1,0,1,1,0.7301065,0.693465178,0,1,1,0,0,2017,BusEnv,?ódzkie
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,Micro,ma?opolskie
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2011,Middle,kujawsko-pomorskie
19,1,0,1,0,0.505567256,0.593283174,0.5,1,0,1,1,0.7301065,0.693465178,0,1,0,0,1,2009,Large,?l?skie
20,0,0,1,1,0.427041106,0.474076651,0.5,0,1,1,1,0.744912366,0.750782825,1,0,1,1,1,2017,Micro,pomorskie
21,0,0,1,1,0.427041106,0.474076651,0.5,0,1,1,1,0.744912366,0.750782825,0,1,0,0,0,2022,Micro,?l?skie
22,0,1,1,1,0.715617818,0.750823998,0.75,1,1,1,1,1,1,1,1,0,1,1,2022,Micro,mazowieckie
23,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,0,1,1,0,1,2008,Micro,lubelskie
24,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,1,0,2019,Micro,kujawsko-pomorskie
25,0,0,0,1,0.205856032,0.12996948,0.25,1,0,0,1,0.486984641,0.375079247,0,1,1,0,0,2022,Middle,?wi?tokrzyskie
26,0,1,1,1,0.715617818,0.750823998,0.75,0,1,1,1,0.744912366,0.750782825,1,1,1,1,1,2016,Middle,ma?opolskie
27,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,0,0,0,0,0,0,0,1,,Middle,kujawsko-pomorskie
28,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2012,Small,dolno?l?skie
29,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,1,2012,Middle,lubelskie
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2016,Small,?ódzkie
31,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2024,Small,lubuskie
32,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2022,Small,pomorskie
33,0,0,0,0,0,0,0,0,1,1,1,0.744912366,0.750782825,0,1,0,0,0,2012,Sci,pomorskie
34,0,0,1,1,0.427041106,0.474076651,0.5,0,0,0,0,0,0,0,1,0,0,0,2012,Middle,podlaskie
35,1,1,1,1,1,1,1,0,0,1,1,0.475018866,0.444248003,0,1,1,1,1,2018,Micro,mazowieckie
36,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,1,1,0,0,1,2019,Micro,mazowieckie
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2017,Small,?ódzkie
38,1,1,1,0,0.794143968,0.87003052,0.75,0,0,1,1,0.475018866,0.444248003,1,1,1,1,1,2012,Small,dolno?l?skie
